"Question","Answer"
"участвует двор в программе","state1"
"участвует двор в на улице в программе","state1"
"участвует улица программе","state1"
"участвует двор в программе в городе","state1"
"участвует двор в на улице в программе в городе","state1"
"участвует улица программе в городе","state1"
"Сколько дворов участвует в программе  в городе","state3"
"как проходит отбор","state4"
"Сколько лавочек будет","state6"
"Сколько качелей будет","state6"
"Сколько метров плитки будет","state6"
"Сколько метров ограждения будет","state6"
"Сколько дворов участвует в программе ","state5"
"когда закончится обустройство во дворе в городе","state2"
"когда закончится обустройство на улице","state2"
"когда закончится обустройство во дворе","state2"
"когда закончатся работы во дворе в городе","state2"
"когда закончатся работы на улице","state2"
"когда закончатся работы во дворе","state2"
