Question,Answer
Могу ли я использовать модуль re Питона для обработки текста ?,"Вы можете использовать любой стандартный модуль Питона, но только тот который уже импортирован в ноутбуке."
"Разрешено ли использовать пакеты кроме тех, что уже импортированы в ноутбуке?",Мы не позволяем использовать дополнительные пакеты.
Где школа CISS будет проходить?,"Школа CISS проходит на базе Массачусетского Университета, Лоуэлл расположенном в сердце исторической части города Лоуэлл, штат Масачусетст. Информацию о точном месте проведения школы мы сообщим участникам."
Что я буду изучать на школе CISS?, Школа CISS позволит участникам обрести фундаментальные знания и навыки в разговорном AI.
Какие требования для участников при регистрации?,Участники должны быть студентами очной формы обучения в аккредитованных колледжах и вузах.
Могу ли я зарегистрироваться если я прохожу обучение в Магистратуре?,"Да, вы можете зарегистрироваться и отправить ответы на квалификационное задание."
Как я могу получить доступ к квалификационному заданию?,"Для начала зарегистрируйтесь, далее мы вышлем вам линк."
Когда последний день для регистрации?,Последний день регистрации 25 Марта 2019.
Когда вы будете оповещать о зачислении на школу?,Участниики школы будут проинформированы до 5 Апреля 2019.
Могут ли не студенты зарегистрироваться на школу?,Не студенты к сожалению не могут подать заявку.
Могу ли я взять свой ноутбук?,"Конечно, вы можете."
"Будут ли покрыты транспортные расходы, расходы на проживание и суточные?",Участники смогут проживать в РиверНок Виладж резиденции внутри кампуса университет бесплатно. Ограниченное число грантов для покрытия транспортных расходов будет предоставлено.
